frame,nose_x,nose_y,nose_detected,left_eye_x,left_eye_y,left_eye_detected,right_eye_x,right_eye_y,right_eye_detected,left_ear_x,left_ear_y,left_ear_detected,right_ear_x,right_ear_y,right_ear_detected,left_shoulder_x,left_shoulder_y,left_shoulder_detected,right_shoulder_x,right_shoulder_y,right_shoulder_detected,left_elbow_x,left_elbow_y,left_elbow_detected,right_elbow_x,right_elbow_y,right_elbow_detected,left_wrist_x,left_wrist_y,left_wrist_detected,right_wrist_x,right_wrist_y,right_wrist_detected,left_hip_x,left_hip_y,left_hip_detected,right_hip_x,right_hip_y,right_hip_detected,left_knee_x,left_knee_y,left_knee_detected,right_knee_x,right_knee_y,right_knee_detected,left_ankle_x,left_ankle_y,left_ankle_detected,right_ankle_x,right_ankle_y,right_ankle_detected
41,[     546.14],[     61.306],True,[     2270.8],[     244.03],True,[          0],[          0],True,[     2228.6],[        231],True,[          0],[          0],True,[     2277.1],[     258.45],True,[       2264],[      257.3],True,[     2301.3],[     315.67],True,[     2331.8],[     318.02],True,[     2246.4],[     329.43],True,[     2238.7],[     318.99],True,[     2319.5],[     379.91],True,[       2299],[     377.01],True,[     2326.2],[     467.37],True,[       2247],[     462.16],True,[     2419.3],[     550.38],True,[     2251.9],[     540.09],True
42,[      287.4],[     32.401],True,[     2248.2],[     241.53],True,[          0],[          0],True,[     2219.5],[     230.37],True,[          0],[          0],True,[       2267],[     256.52],True,[     2253.4],[     257.35],True,[     2294.8],[     313.25],True,[     2321.3],[     318.73],True,[     2237.1],[      327.8],True,[     2226.7],[     316.73],True,[     2309.9],[     376.63],True,[     2289.6],[     374.73],True,[     2312.4],[     465.31],True,[     2239.6],[     461.85],True,[     2401.9],[     548.82],True,[       2245],[     539.85],True
43,[     910.56],[      103.4],True,[     2225.4],[     240.55],True,[          0],[          0],True,[     2209.8],[     231.03],True,[          0],[          0],True,[     2257.6],[     257.15],True,[     2242.8],[     259.56],True,[     2288.5],[     313.07],True,[     2304.2],[     321.28],True,[     2231.3],[      326.5],True,[     2216.4],[     315.66],True,[     2298.5],[     375.88],True,[     2278.7],[     374.76],True,[     2294.9],[     464.97],True,[     2232.4],[      462.9],True,[     2380.5],[     548.49],True,[     2242.8],[     540.58],True
44,[     1063.8],[     167.07],True,[       1399],[     151.52],True,[      465.2],[     96.245],True,[     1387.8],[     145.37],True,[     458.48],[     98.034],True,[     1862.7],[      271.7],True,[       1862],[     275.16],True,[     1884.4],[     326.33],True,[     1907.6],[     334.18],True,[     1860.5],[     339.92],True,[     1849.4],[     335.58],True,[     1870.1],[     388.17],True,[     1866.5],[     387.98],True,[     1866.7],[     473.47],True,[     1857.2],[     472.76],True,[     1893.2],[     551.47],True,[     1850.3],[     549.57],True
45,[     1179.5],[     212.64],True,[     766.13],[     83.275],True,[     825.88],[     167.44],True,[      758.6],[     79.748],True,[     815.63],[      170.1],True,[     1567.3],[     280.78],True,[     1571.3],[     285.11],True,[     1130.2],[     206.87],True,[     1606.2],[     344.39],True,[     1584.3],[     345.87],True,[     1576.4],[     345.72],True,[     1552.9],[     396.45],True,[     1554.9],[     397.65],True,[     1555.5],[     478.69],True,[     1566.2],[     480.01],True,[     1543.1],[     554.09],True,[     1540.6],[     557.36],True
46,[     1263.1],[     245.67],True,[      305.7],[     33.574],True,[       1092],[     219.51],True,[      301.1],[     31.981],True,[     1080.2],[     222.72],True,[     1362.5],[     288.91],True,[       1366],[     292.66],True,[     1023.5],[      244.7],True,[     1391.9],[     352.08],True,[     1391.1],[     349.97],True,[     1387.2],[     351.77],True,[     1334.3],[     403.07],True,[     1332.8],[     404.89],True,[     1352.9],[     482.25],True,[     1342.4],[     485.18],True,[     1331.6],[     555.26],True,[     1288.7],[     562.06],True
47,[     1636.1],[     263.97],True,[     783.48],[      88.64],True,[     803.08],[     161.32],True,[     788.61],[     86.446],True,[     794.46],[     163.67],True,[     1581.5],[      283.3],True,[     1571.5],[     288.19],True,[     1340.7],[     265.09],True,[     1586.7],[     346.26],True,[     1592.1],[     339.25],True,[     1582.8],[     342.77],True,[     1568.6],[      398.3],True,[     1559.6],[     400.09],True,[     1563.8],[     477.94],True,[     1558.2],[     479.82],True,[     1559.9],[     554.29],True,[     1537.9],[     557.12],True
48,[     1912.1],[     274.52],True,[     1193.6],[      135.5],True,[     556.85],[     111.77],True,[     1206.2],[     132.68],True,[     550.93],[     113.38],True,[     1770.3],[     278.34],True,[     1749.6],[     284.06],True,[     1612.1],[      282.2],True,[     1756.3],[     340.97],True,[     1765.4],[     330.46],True,[     1752.2],[     335.21],True,[     1770.6],[      394.2],True,[     1755.6],[     395.88],True,[     1747.3],[     474.26],True,[     1744.5],[     475.14],True,[     1759.2],[     553.26],True,[     1751.7],[     552.66],True
49,[     2099.6],[     279.32],True,[     1523.1],[     173.35],True,[     357.15],[     71.603],True,[     1541.7],[     168.74],True,[     353.42],[     72.626],True,[     1918.9],[     272.69],True,[     1891.5],[     280.18],True,[     1824.9],[     296.94],True,[     1891.4],[     339.28],True,[       1900],[     323.56],True,[     1884.1],[     328.29],True,[     1931.5],[     391.45],True,[     1911.8],[     393.46],True,[     1894.5],[     470.47],True,[     1888.5],[     471.57],True,[     1922.7],[     555.06],True,[     1913.6],[     553.05],True
50,[     2214.9],[     280.13],True,[     1773.8],[     203.08],True,[      202.7],[     40.558],True,[     1795.6],[     198.47],True,[     200.64],[     41.126],True,[     2029.2],[     269.51],True,[     1997.6],[     278.17],True,[     1986.9],[     307.43],True,[     1992.6],[      337.4],True,[     2002.7],[     319.92],True,[     1984.9],[     323.46],True,[     2051.6],[     387.65],True,[     2028.4],[     389.97],True,[     2009.6],[     466.75],True,[     1996.5],[     468.24],True,[     2049.3],[     555.85],True,[     2027.4],[     553.39],True
